Location,Pincode,State,District,Latitude,Longitude
Mayipady,671124,Kerala,Kasargod,12.5628058,74.99294119999999
Miyapadavu,671323,Kerala,Kasargod,12.7136565,74.95448680000001
Mogral,671321,Kerala,Kasargod,12.572562,74.9530257
Mogral Puthur,671124,Kerala,Kasargod,12.55353,74.9617924
Moodambail,671323,Kerala,Kasargod,12.7059127,74.94133610000002
Movval,671316,Kerala,Kasargod,12.4044721,75.0475276
Movvar,671543,Kerala,Kasargod,12.5637217,75.13243729999999
Mugu,671321,Kerala,Kasargod,12.6051214,75.01000049999999
Muliyar,671542,Kerala,Kasargod,12.722844,75.0774967
Mulleria,671543,Kerala,Kasargod,12.5509779,75.1632937
Munnad,671541,Kerala,Kasargod,12.4672342,75.1880986
Muttathody,671123,Kerala,Kasargod,12.5351919,75.03190860000001
Muttomkadavil,671533,Kerala,Kasargod,12.5080019,74.9882114
Mylatti,671319,Kerala,Kasargod,12.444625,75.0581943
Natakkal,671533,Kerala,Kasargod,12.581811,75.167706
Nekraje,671544,Kerala,Kasargod,12.5496588,75.0903154
Nettanige,671543,Kerala,Kasargod,12.6101224,75.1720488
Nileshwar,671314,Kerala,Kasargod,12.259613,75.12810999999999
Nirchal,671321,Kerala,Kasargod,12.5883882,75.03482939999999
Olat,671310,Kerala,Kasargod,12.1993415,75.2021426
Ozhinhavalappu,671314,Kerala,Kasargod,12.2619568,75.09862940000001
Padimaruth,671531,Kerala,Kasargod,12.4070711,75.2161323
Padne,671312,Kerala,Kasargod,12.1765141,75.145782
Padnekadapuram,671312,Kerala,Kasargod,12.1635957,75.1384848
Padnekkad,671328,Kerala,Kasargod,12.265525,75.114082
Padre,671552,Kerala,Kasargod,12.6193186,75.1370254
Paivalike,671348,Kerala,Kasargod,12.6818956,74.9889646
Pakkom,671316,Kerala,Kasargod,12.4015229,75.0578546
Pallathadka,671551,Kerala,Kasargod,12.6148608,75.0830157
Pallikere,671316,Kerala,Kasargod,12.3829718,75.05235340000002
Panathady,671532,Kerala,Kasargod,12.457125,75.3076904
Panathur,671532,Kerala,Kasargod,12.4570658,75.35725010000002
Pandi,671543,Kerala,Kasargod,12.5524049,75.2327646
Paniyal,671318,Kerala,Kasargod,12.4255993,75.0669552
Panjikkal,671543,Kerala,Kasargod,12.5744546,75.31760059999999
Paraklayi,671531,Kerala,Kasargod,12.5080019,74.9882114
Paramba,671533,Kerala,Kasargod,12.3551352,75.3557927
Parappa,671533,Kerala,Kasargod,12.3713658,75.24498919999999
Parappa - delampady,671543,Kerala,Kasargod,12.5885149,75.2628488
Paravanadkam,671317,Kerala,Kasargod,12.4830832,75.0107309
Pathoor,671323,Kerala,Kasargod,12.7783268,74.9913764
Patla,671124,Kerala,Kasargod,12.5643967,75.00561859999999
Pavoor,671323,Kerala,Kasargod,12.751891,74.9150313
Perdala,671551,Kerala,Kasargod,12.5788792,75.06403499999999
Periyanganam,671314,Kerala,Kasargod,12.307159,75.2645519
Periye,671316,Kerala,Kasargod,12.4075546,75.0932352
Perla,671552,Kerala,Kasargod,12.6426416,75.1049137
Permude,671324,Kerala,Kasargod,12.6599952,75.0173035
Perumbala,671317,Kerala,Kasargod,12.4876006,75.0289877
Perumbatta,671313,Kerala,Kasargod,12.2785147,75.2799884
Pettikundu,671313,Kerala,Kasargod,12.5080019,74.9882114
Pilicode,671353,Kerala,Kasargod,12.1997337,75.1632937
Plachikara,671533,Kerala,Kasargod,12.3398906,75.2906582
Podavur,671313,Kerala,Kasargod,12.9109925,79.74279159999999
Pudukai,671314,Kerala,Kasargod,12.5080019,74.9882114
Pullur,671531,Kerala,Kasargod,12.3731068,75.1253492
Punnakkunnu,671533,Kerala,Kasargod,12.361162,75.31399499999999
Puthariadukkam,671314,Kerala,Kasargod,12.5080019,74.9882114
Puthige,671321,Kerala,Kasargod,12.6205614,75.0114612
Rajapuram,671532,Kerala,Kasargod,12.4215687,75.24498919999999
Ramdasnagar,671124,Kerala,Kasargod,12.5247462,74.99502369999999
Ranipuram,671532,Kerala,Kasargod,12.4279965,75.3616223
Ravaneshwaram,671316,Kerala,Kasargod,12.3739527,75.07965449999999
Samekochi,671541,Kerala,Kasargod,12.5080019,74.9882114
Sankarampady,671541,Kerala,Kasargod,12.5010638,75.23483999999999
Shiribagilu,671124,Kerala,Kasargod,12.5525695,74.9939327
Shiriya,671321,Kerala,Kasargod,12.6227731,74.92818419999999
Talangara,671122,Kerala,Kasargod,12.4841424,74.99247199999999
Thaikadapuram,671314,Kerala,Kasargod,12.2289378,75.11221239999999
Thayanoor,671531,Kerala,Kasargod,12.351741,75.1924755
Thekkil,671541,Kerala,Kasargod,12.4881258,75.0506448
Thekkilferry,671545,Kerala,Kasargod,12.4924467,75.0530835
Thuruthi,671351,Kerala,Kasargod,12.2184468,75.1238896
Timiri - chervathur,671313,Kerala,Kasargod,12.226383,75.177296
Trikarpur,671310,Kerala,Kasargod,12.1417813,75.1720488
Trikarpur Kadapuram,671310,Kerala,Kasargod,12.1417813,75.1720488
Trikarpur South,671311,Kerala,Kasargod,12.1417813,75.1720488
Udinur,671349,Kerala,Kasargod,12.1607773,75.1632937
Udma,671319,Kerala,Kasargod,12.43675,75.0173035
Udumbanthala,671350,Kerala,Kasargod,12.1072537,75.1764262
Udyavara,671323,Kerala,Kasargod,13.31158,74.732703
Ukkinadka,671552,Kerala,Kasargod,12.6308036,75.0932352
Ullody,671321,Kerala,Kasargod,12.562757,75.050106
Umda - padinhare,671319,Kerala,Kasargod,12.4399817,75.0165036
Uppala,671322,Kerala,Kasargod,12.6759561,74.9062622
Uppala Gate,671322,Kerala,Kasargod,12.6828534,74.9048006
Uppilakai,671314,Kerala,Kasargod,12.2789375,75.1241419
Urdur,671543,Kerala,Kasargod,12.5499698,75.24498919999999
Valiaparaba,671312,Kerala,Kasargod,12.5080019,74.9882114
Valiapoil,671313,Kerala,Kasargod,12.2391435,75.1844976
Vallikadavu,671533,Kerala,Kasargod,12.3703967,75.3543353
Vaninagar,671552,Kerala,Kasargod,12.6184995,75.1472414
Vattamthatta,671542,Kerala,Kasargod,12.4932235,75.1683977
Vellap,671310,Kerala,Kasargod,12.1305789,75.1654597
Vellarikundu,671533,Kerala,Kasargod,12.3633289,75.2878573
Vidyanagar,671123,Kerala,Kasargod,12.514633,75.01956799999999
Vorkadi,671323,Kerala,Kasargod,12.7598105,74.931107
West Eleri,671314,Kerala,Kasargod,12.3453349,75.329557
Yethadka,671551,Kerala,Kasargod,12.6045261,75.12243
