Location,Pincode,State,District
Thekkilferry,671545,Kerala,Kasargod
Thuruthi,671351,Kerala,Kasargod
Timiri - chervathur,671313,Kerala,Kasargod
Trikarpur,671310,Kerala,Kasargod
Trikarpur Kadapuram,671310,Kerala,Kasargod
Trikarpur South,671311,Kerala,Kasargod
Udinur,671349,Kerala,Kasargod
Udma,671319,Kerala,Kasargod
Udumbanthala,671350,Kerala,Kasargod
Udyavara,671323,Kerala,Kasargod
Ukkinadka,671552,Kerala,Kasargod
Ullody,671321,Kerala,Kasargod
Umda - padinhare,671319,Kerala,Kasargod
Uppala,671322,Kerala,Kasargod
Uppala Gate,671322,Kerala,Kasargod
Uppilakai,671314,Kerala,Kasargod
Urdur,671543,Kerala,Kasargod
Valiaparaba,671312,Kerala,Kasargod
Valiapoil,671313,Kerala,Kasargod
Vallikadavu,671533,Kerala,Kasargod
Vaninagar,671552,Kerala,Kasargod
Vattamthatta,671542,Kerala,Kasargod
Vellap,671310,Kerala,Kasargod
Vellarikundu,671533,Kerala,Kasargod
Vidyanagar,671123,Kerala,Kasargod
Vorkadi,671323,Kerala,Kasargod
West Eleri,671314,Kerala,Kasargod
Yethadka,671551,Kerala,Kasargod
